0d9b5c1a	__irq_alloc_domain_generic_chips	vmlinux	kernel
73d2ee76	__irq_domain_add	vmlinux	REQUIRED
49a38900	__irq_set_handler	vmlinux	kernel
139f2189	__kfifo_alloc	vmlinux	REQUIRED
db760f52	__kfifo_free	vmlinux	REQUIRED
f23fcb99	__kfifo_in	vmlinux	REQUIRED
bd462b55	__kfifo_init	vmlinux	kernel
13d0adf7	__kfifo_out	vmlinux	REQUIRED
281823c5	__kfifo_out_peek	vmlinux	kernel
4578f528	__kfifo_to_user	vmlinux	kernel
22abc70f	__kfree_skb	vmlinux	kernel
eb233a45	__kmalloc	vmlinux	REQUIRED
4616a1da	__kthread_init_worker	vmlinux	REQUIRED
68f31cbd	__list_add_valid	vmlinux	REQUIRED
e1537255	__list_del_entry_valid	vmlinux	REQUIRED
3c3fce39	__local_bh_enable_ip	vmlinux	REQUIRED
e031c7f0	__lock_buffer	vmlinux	kernel
5eb52dac	__lock_page	vmlinux	REQUIRED
6980ea4b	__log_post_read_mmio	vmlinux	REQUIRED
cf1211a8	__log_read_mmio	vmlinux	REQUIRED
31dfd5cd	__log_write_mmio	vmlinux	REQUIRED
7849895c	__mark_inode_dirty	vmlinux	kernel
312104a9	__mdiobus_read	vmlinux	kernel
fdff74cc	__mdiobus_register	vmlinux	REQUIRED
6ddb4546	__mdiobus_write	vmlinux	kernel
8e8feb5f	__media_device_register	vmlinux	REQUIRED
c03d7dfd	__media_entity_setup_link	vmlinux	kernel
d64ed259	__memcat_p	vmlinux	REQUIRED
5d112304	__memcpy_fromio	vmlinux	REQUIRED
f77555cd	__memcpy_toio	vmlinux	REQUIRED
18b48e28	__memset_io	vmlinux	REQUIRED
4a164b4d	__mmc_claim_host	vmlinux	kernel
46aa6131	__mmc_send_status	vmlinux	kernel
2f76d662	__mmdrop	vmlinux	kernel
b4f24d4d	__mod_node_page_state	vmlinux	kernel
5104c6ef	__mod_zone_page_state	vmlinux	kernel
96c21ce0	__module_get	vmlinux	REQUIRED
7f02188f	__msecs_to_jiffies	vmlinux	REQUIRED
574add77	__mutex_init	vmlinux	REQUIRED
e2b85dd7	__napi_alloc_skb	vmlinux	kernel
56b7e3b1	__napi_schedule	vmlinux	REQUIRED
34f5d259	__napi_schedule_irqoff	vmlinux	kernel
df8c695a	__ndelay	vmlinux	kernel
78218cd9	__neigh_event_send	vmlinux	kernel
250f3ecf	__netdev_alloc_skb	vmlinux	REQUIRED
339d9ecc	__netif_napi_del	vmlinux	REQUIRED
376690a8	__netif_set_xps_queue	vmlinux	kernel
eebb47bf	__netlink_kernel_create	vmlinux	REQUIRED
46bc2066	__next_zones_zonelist	vmlinux	kernel
420964e3	__nla_parse	vmlinux	REQUIRED
431ec3a9	__nla_validate	vmlinux	REQUIRED
ce13b725	__nlmsg_put	vmlinux	REQUIRED
c60d0620	__num_online_cpus	vmlinux	REQUIRED
5a578e62	__of_reset_control_get	vmlinux	kernel
13b9896b	__page_file_index	vmlinux	kernel
39b41957	__page_file_mapping	vmlinux	kernel
3bf87961	__page_mapcount	vmlinux	kernel
00336a06	__page_pinner_migration_failed	vmlinux	REQUIRED
0e26e5ad	__pagevec_release	vmlinux	kernel
0339795e	__pci_register_driver	vmlinux	REQUIRED
280f9f14	__per_cpu_offset	vmlinux	REQUIRED
20cbb30a	__percpu_counter_init	vmlinux	kernel
53126ecc	__percpu_counter_sum	vmlinux	kernel
ec40655f	__percpu_down_read	vmlinux	kernel
21a1cfeb	__percpu_init_rwsem	vmlinux	kernel
e2d2c633	__phy_modify	vmlinux	kernel
